Row, Timestamp, Series 1, Series 2, Series 3, Series 4, Series 5, Series 6, Series 7, Series 8
90  , 9.156, 1      , 1      , 1      , 0      , 1      , 0      , , 
91  , 9.256, 1      , 1      , 1      , 0      , 1      , 0      , , 
92  , 9.356, 1      , 1      , 1      , 0      , 1      , 0      , , 
93  , 9.456, 1      , 1      , 1      , 0      , 1      , 0      , , 
94  , 9.556, 1      , 1      , 1      , 0      , 1      , 0      , , 
95  , 9.656, 1      , 1      , 1      , 0      , 1      , 0      , , 
96  , 9.756, 1      , 1      , 1      , 0      , 1      , 0      , , 
97  , 9.856, 1      , 1      , 1      , 0      , 1      , 0      , , 
98  , 9.956, 1      , 1      , 1      , 0      , 1      , 0      , , 
99  , 10.056, 1      , 1      , 1      , 0      , 1      , 0      , , 
100 , 10.156, 1      , 1      , 1      , 0      , 1      , 0      , , 
101 , 10.256, 1      , 1      , 1      , 0      , 1      , 0      , , 
102 , 10.356, 1      , 1      , 1      , 0      , 1      , 0      , , 
103 , 10.456, 1      , 1      , 1      , 0      , 1      , 0      , , 
104 , 10.556, 1      , 1      , 1      , 0      , 1      , 0      , , 
105 , 10.656, 1      , 1      , 1      , 0      , 1      , 0      , , 
106 , 10.756, 1      , 1      , 1      , 0      , 1      , 0      , , 
107 , 10.856, 1      , 1      , 1      , 0      , 1      , 0      , , 
108 , 10.956, 1      , 1      , 1      , 0      , 1      , 0      , , 
109 , 11.056, 1      , 1      , 1      , 0      , 1      , 0      , , 
110 , 11.156, 1      , 1      , 1      , 0      , 1      , 0      , , 
111 , 11.256, 1      , 1      , 1      , 0      , 1      , 0      , , 
112 , 11.356, 1      , 1      , 1      , 0      , 1      , 0      , , 
113 , 11.456, 1      , 1      , 1      , 0      , 1      , 0      , , 
114 , 11.556, 1      , 1      , 1      , 0      , 1      , 0      , , 
115 , 11.656, 1      , 1      , 1      , 0      , 1      , 0      , , 
116 , 11.756, 1      , 1      , 1      , 0      , 1      , 0      , , 
117 , 11.856, 1      , 1      , 1      , 0      , 1      , 0      , , 
118 , 11.956, 1      , 1      , 1      , 0      , 1      , 0      , , 
119 , 12.056, 1      , 1      , 1      , 0      , 1      , 0      , , 
120 , 12.156, 1      , 1      , 1      , 0      , 1      , 0      , , 
121 , 12.256, 1      , 1      , 1      , 0      , 1      , 0      , , 
122 , 12.356, 1      , 1      , 1      , 0      , 1      , 0      , , 
123 , 12.456, 1      , 1      , 1      , 0      , 1      , 0      , , 
124 , 12.556, 1      , 1      , 1      , 0      , 1      , 0      , , 
125 , 12.656, 1      , 1      , 1      , 0      , 1      , 0      , , 
126 , 12.756, 1      , 1      , 1      , 0      , 1      , 0      , , 
127 , 12.856, 1      , 1      , 1      , 0      , 1      , 0      , , 
128 , 12.956, 1      , 1      , 1      , 0      , 1      , 0      , , 
129 , 13.056, 1      , 1      , 1      , 0      , 1      , 0      , , 
130 , 13.156, 1      , 1      , 1      , 0      , 1      , 0      , , 
131 , 13.256, 1      , 1      , 1      , 0      , 1      , 0      , , 
132 , 13.356, 1      , 1      , 1      , 0      , 1      , 0      , , 
133 , 13.456, 1      , 1      , 1      , 0      , 1      , 0      , , 
134 , 13.556, 1      , 1      , 1      , 0      , 1      , 0      , , 
135 , 13.656, 1      , 1      , 1      , 0      , 1      , 0      , , 
136 , 13.756, 1      , 1      , 1      , 0      , 1      , 0      , , 
137 , 13.856, 1      , 1      , 1      , 0      , 1      , 0      , , 
138 , 13.956, 1      , 1      , 1      , 0      , 1      , 0      , , 
139 , 14.056, 1      , 1      , 1      , 0      , 1      , 0      , , 
140 , 14.156, 1      , 1      , 1      , 0      , 1      , 0      , , 
